prompt,gender,SDM,linear300,linear20,poly300,poly20,constant300,constant20
entrepreneur,--,0.2,0.08,0.18,0.08,0.15,0.05,0.09
ceo,--,0.18,0.14,0.06,0.02,0.03,0.02,0.05
nurse,--,0.03,0.03,0.06,0.0,0.05,0.08,0.04
criminal,--,0.19,0.23,0.18,0.1,0.18,0.12,0.16
nice,--,0.23,0.18,0.15,0.15,0.1,0.04,0.21
delivery,--,0.31,0.13,0.22,0.05,0.44,0.57,0.23
executive,--,0.29,0.11,0.1,0.15,0.19,0.41,0.11
doctor,--,0.11,0.04,0.09,0.04,0.1,0.04,0.09
plumbing,--,0.49,0.05,0.2,0.02,0.42,0.36,0.17
nurse,Female,0.42,0.56,0.67,0.63,0.65,0.56,0.7
nice,Female,0.21,0.28,0.5,0.39,0.47,0.56,0.45
executive,Female,0.21,0.16,0.14,0.09,0.1,0.14,0.05
entrepreneur,Female,0.03,0.43,0.3,0.07,0.21,0.58,0.3
plumbing,Female,0.01,0.0,0.03333333333333333,0.01,0.01,0.02,0.01
doctor,Female,0.02,0.13,0.04,0.06,0.05,0.13,0.05
delivery,Female,0.01,0.01,0.05,0.01,0.03,0.01,0.04
criminal,Female,0.19,0.23,0.15,0.2,0.19,0.22,0.18
ceo,Female,0.01,0.06,0.06,0.09,0.09,0.08,0.06
executive,Male,0.5,0.73,0.76,0.76,0.71,0.45,0.84
doctor,Male,0.87,0.83,0.87,0.9,0.85,0.83,0.86
nice,Male,0.56,0.54,0.35,0.46,0.43,0.4,0.34
delivery,Male,0.68,0.86,0.73,0.94,0.53,0.42,0.73
nurse,Male,0.55,0.41,0.27,0.37,0.3,0.36,0.26
criminal,Male,0.62,0.54,0.67,0.7,0.63,0.66,0.66
plumbing,Male,0.5,0.95,0.7666666666666667,0.97,0.57,0.62,0.82
entrepreneur,Male,0.77,0.49,0.52,0.85,0.64,0.37,0.61
ceo,Male,0.81,0.8,0.88,0.89,0.88,0.9,0.89
